"Threshold","MaxCluster","Singletons"
0.0358,67,21
0.0359,67,21
0.036,67,21
0.0361,67,21
0.0362,67,21
0.0363,66,21
0.0364,66,21
0.0365,66,21
0.0366,66,21
0.0367,66,21
0.0368,66,21
0.0369,66,21
0.037,65,21
0.0371,65,21
0.0372,65,21
0.0373,65,21
0.0374,64,21
0.0375,64,21
0.0376,64,21
0.0377,64,21
0.0378,64,21
0.0379,64,21
0.038,64,21
0.0381,64,21
0.0382,64,20
0.0383,64,20
0.0384,64,20
0.0385,63,20
0.0386,63,20
0.0387,62,20
0.0388,62,20
0.0389,62,20
0.039,62,20
0.0391,62,20
0.0392,61,20
0.0393,61,20
0.0394,61,20
0.0395,61,20
0.0396,61,20
0.0397,61,20
0.0398,61,20
0.0399,60,20
0.04,60,20
0.0401,60,20
0.0402,60,20
0.0403,60,20
0.0404,60,20
0.0405,59,20
0.0406,59,20
0.0407,59,20
0.0408,59,20
0.0409,59,20
0.041,59,20
0.0411,59,19
0.0412,59,19
0.0413,58,19
0.0414,58,19
0.0415,58,19
0.0416,58,19
0.0417,58,19
0.0418,58,19
0.0419,58,19
0.042,58,19
0.0421,58,19
0.0422,58,19
0.0423,58,19
0.0424,58,19
0.0425,58,19
0.0426,58,19
0.0427,58,19
0.0428,58,18
0.0429,58,18
0.043,58,18
0.0431,58,18
0.0432,58,18
0.0433,58,18
0.0434,58,18
0.0435,58,18
0.0436,58,18
0.0437,58,18
0.0438,58,18
0.0439,57,18
0.044,57,18
0.0441,57,18
0.0442,57,18
0.0443,57,18
0.0444,57,18
0.0445,57,18
0.0446,57,18
0.0447,57,18
0.0448,57,18
0.0449,57,18
0.045,57,18
0.0451,57,18
0.0452,57,18
0.0453,57,18
0.0454,57,18
0.0455,57,18
0.0456,57,18
0.0457,57,18
0.0458,57,18
0.0459,57,17
0.046,57,17
0.0461,57,17
0.0462,57,17
0.0463,57,17
0.0464,57,17
0.0465,57,17
0.0466,57,17
0.0467,57,17
0.0468,56,17
0.0469,56,17
0.047,56,17
0.0471,55,17
0.0472,55,17
0.0473,55,17
0.0474,55,17
0.0475,55,17
0.0476,55,16
0.0477,54,16
0.0478,54,16
0.0479,54,16
0.048,54,16
0.0481,54,16
0.0482,54,16
0.0483,54,16
0.0484,54,16
0.0485,54,15
0.0486,54,15
0.0487,54,15
0.0488,54,15
0.0489,53,15
0.049,53,15
0.0491,53,15
0.0492,52,15
0.0493,52,15
0.0494,52,14
0.0495,52,14
0.0496,52,14
0.0497,51,14
0.0498,51,13
0.0499,51,13
0.05,50,13
0.0501,50,12
0.0502,50,12
0.0503,50,12
0.0504,50,12
0.0505,50,12
0.0506,50,10
0.0507,50,10
0.0508,50,10
0.0509,50,10
0.051,50,10
0.0511,50,10
0.0512,50,10
0.0513,50,9
0.0514,50,9
0.0515,50,8
0.0516,50,8
0.0517,50,8
0.0518,50,8
0.0519,50,8
0.052,50,8
0.0521,50,8
0.0522,50,8
0.0523,50,8
0.0524,50,8
0.0525,50,8
0.0526,50,8
0.0527,50,8
0.0528,50,8
0.0529,50,8
0.053,50,8
0.0531,50,8
0.0532,49,8
0.0533,49,8
0.0534,49,8
0.0535,49,8
0.0536,48,8
0.0537,48,8
0.0538,48,8
0.0539,48,8
0.054,48,8
0.0541,48,8
0.0542,48,8
0.0543,48,8
0.0544,48,8
0.0545,48,8
0.0546,48,8
0.0547,48,8
0.0548,48,8
0.0549,48,8
0.055,47,8
0.0551,47,8
0.0552,47,8
0.0553,47,8
0.0554,47,8
0.0555,47,8
0.0556,46,8
0.0557,46,8
0.0558,46,8
0.0559,46,8
0.056,46,8
0.0561,45,8
0.0562,45,8
0.0563,45,8
0.0564,44,8
0.0565,44,8
0.0566,44,8
0.0567,44,8
0.0568,44,8
0.0569,44,8
0.057,44,8
0.0571,44,8
0.0572,44,7
0.0573,44,7
0.0574,44,7
0.0575,44,7
0.0576,44,7
0.0577,44,7
0.0578,44,7
0.0579,44,7
0.058,44,7
0.0581,43,7
0.0582,43,7
0.0583,42,7
0.0584,42,7
0.0585,42,7
0.0586,42,7
0.0587,42,7
0.0588,42,7
0.0589,42,7
0.059,42,7
0.0591,42,7
0.0592,42,7
0.0593,42,7
0.0594,42,7
0.0595,42,6
0.0596,42,6
0.0597,42,6
0.0598,42,6
0.0599,42,6
0.06,42,6
0.0601,42,5
0.0602,42,5
0.0603,41,5
0.0604,41,5
0.0605,41,5
0.0606,41,5
0.0607,41,5
0.0608,41,5
0.0609,41,5
0.061,41,5
0.0611,41,5
0.0612,41,5
0.0613,41,5
0.0614,41,5
0.0615,41,5
0.0616,41,5
0.0617,41,5
0.0618,41,5
0.0619,41,5
0.062,41,5
0.0621,41,5
0.0622,41,5
0.0623,41,5
0.0624,41,5
0.0625,41,5
0.0626,41,5
0.0627,41,5
0.0628,41,5
0.0629,41,5
0.063,40,5
0.0631,40,5
0.0632,40,5
0.0633,40,5
0.0634,40,5
0.0635,40,5
0.0636,40,5
0.0637,40,5
0.0638,40,5
0.0639,40,5
0.064,40,5
0.0641,40,5
0.0642,40,5
0.0643,40,5
0.0644,40,5
0.0645,40,5
0.0646,40,5
0.0647,40,5
0.0648,40,5
0.0649,40,5
0.065,40,5
0.0651,40,5
0.0652,40,5
0.0653,40,5
0.0654,40,5
0.0655,40,5
0.0656,40,5
0.0657,40,5
0.0658,40,5
0.0659,40,5
0.066,40,5
0.0661,40,5
0.0662,40,5
0.0663,40,5
0.0664,40,5
0.0665,40,5
0.0666,40,5
0.0667,40,5
0.0668,39,5
0.0669,39,5
0.067,39,5
0.0671,39,5
0.0672,39,5
0.0673,39,5
0.0674,39,5
0.0675,39,5
0.0676,39,5
0.0677,38,5
0.0678,38,5
0.0679,38,5
0.068,38,5
0.0681,38,5
0.0682,38,5
0.0683,38,5
0.0684,37,5
0.0685,37,5
0.0686,37,5
0.0687,37,5
0.0688,37,5
0.0689,37,5
0.069,37,5
0.0691,37,5
0.0692,37,5
0.0693,37,5
0.0694,37,5
0.0695,37,5
0.0696,37,5
0.0697,36,5
0.0698,36,5
0.0699,36,5
0.07,36,5
0.0701,36,5
0.0702,36,5
0.0703,36,5
0.0704,36,5
0.0705,36,5
0.0706,36,5
0.0707,36,5
0.0708,36,5
0.0709,36,5
0.071,36,5
0.0711,36,5
0.0712,36,5
0.0713,36,5
0.0714,36,5
0.0715,36,5
0.0716,35,5
0.0717,35,5
0.0718,35,5
0.0719,35,5
0.072,35,5
0.0721,35,5
0.0722,35,5
0.0723,35,5
0.0724,35,5
0.0725,35,5
0.0726,35,5
0.0727,35,5
0.0728,35,5
0.0729,35,5
0.073,35,5
0.0731,35,5
0.0732,35,5
0.0733,35,5
0.0734,35,5
0.0735,35,5
0.0736,34,5
0.0737,34,5
0.0738,34,5
0.0739,34,5
0.074,34,5
0.0741,34,5
0.0742,34,5
0.0743,34,5
0.0744,34,5
0.0745,34,5
0.0746,34,5
0.0747,34,5
0.0748,34,5
0.0749,34,5
0.075,34,5
0.0751,34,5
0.0752,34,5
0.0753,34,5
0.0754,34,5
0.0755,34,5
0.0756,34,5
0.0757,34,5
0.0758,34,5
0.0759,34,5
0.076,34,5
0.0761,34,5
0.0762,34,5
0.0763,34,5
0.0764,34,5
0.0765,34,5
0.0766,34,5
0.0767,33,5
0.0768,33,5
0.0769,33,5
0.077,33,5
0.0771,33,5
0.0772,33,5
0.0773,33,5
0.0774,33,5
0.0775,33,5
0.0776,33,5
0.0777,33,5
0.0778,33,5
0.0779,33,5
0.078,33,5
0.0781,33,5
0.0782,33,5
0.0783,33,5
0.0784,33,5
0.0785,33,5
0.0786,33,5
0.0787,33,5
0.0788,33,5
0.0789,33,5
0.079,33,5
0.0791,33,5
0.0792,33,5
0.0793,33,5
0.0794,33,5
0.0795,33,5
0.0796,33,5
0.0797,33,5
0.0798,33,5
0.0799,33,5
0.08,33,5
0.0801,33,5
0.0802,33,5
0.0803,33,5
0.0804,33,5
0.0805,33,5
0.0806,32,5
0.0807,32,5
0.0808,32,5
0.0809,32,5
0.081,32,5
0.0811,32,5
0.0812,32,5
0.0813,32,5
0.0814,32,5
0.0815,32,5
0.0816,32,5
0.0817,32,5
0.0818,32,5
0.0819,32,5
0.082,32,5
0.0821,32,5
0.0822,32,5
0.0823,32,5
0.0824,32,5
0.0825,32,5
0.0826,32,5
0.0827,32,5
0.0828,32,5
0.0829,32,5
0.083,31,5
0.0831,31,5
0.0832,31,4
0.0833,31,4
0.0834,31,4
0.0835,31,4
0.0836,31,4
0.0837,31,4
0.0838,31,4
0.0839,31,4
0.084,31,4
0.0841,31,4
0.0842,31,4
0.0843,31,4
0.0844,31,4
0.0845,31,4
0.0846,31,4
0.0847,31,4
0.0848,31,4
0.0849,31,4
0.085,31,4
0.0851,31,4
0.0852,31,4
